,KOR,AUS,GBR,ESP,JPN,CAN,USA,MEX,DEU,ITA,CHE,SWE,FRA
2005-06-01,-3.945534253292336,-1.3776161731468168,-0.4884162706887657,0.02724070107555787,-1.4417999853522703,-1.0805733613909447,-0.8283083340455245,-2.804712325098585,-1.1999114942816298,-0.8085545545987138,-1.0366912673090005,-1.8474146782632501,-0.4886113961006488
2005-09-01,-4.063278793885177,-1.3766277901421835,-0.37081120944992746,-0.05340783985411357,-1.4386794457297305,-1.0732099968459,-0.8533680687607045,-2.751952150061513,-1.4067420584714752,-0.7595296821349719,-1.0120051442468838,-1.8029080159386048,-0.5263400955896036
2005-12-01,-4.226100907750981,-1.2953413706242312,-0.22244514851510966,0.2180182162295381,-1.4393799646556213,-1.104543354453541,-0.8492501419201226,-3.025253421113758,-1.412606625359289,-0.7804561700955868,-0.963485195161522,-1.7429569750471825,-0.4438577210722188
2006-03-01,-4.33325466100382,-1.3401468918220474,-0.3696799123823465,0.4082336330291304,-1.4663014415663853,-1.1346018628866101,-0.8275524955190819,-2.9813621712106064,-1.4463213618293689,-0.45337017529758605,-0.8447912637378222,-1.3558731878535688,-0.5521184392422082
2006-06-01,-4.2460149775771585,-1.3946284137814453,-0.7444714799655408,0.30450623060601056,-1.4722489188691201,-1.1045193038486232,-0.7271617879611858,-3.0835095248726243,-1.2261636837348922,-0.8155806236470181,-0.8515036438765147,-1.2353855378115113,-0.5565109999823289
2006-09-01,-3.218570167454006,-1.424839357247176,-0.6421149819129162,0.29130012863404187,-1.509689902363548,-1.0796276407639565,-0.7360009812937806,-3.2314704884242462,-1.2388492005122007,-0.7188790525885816,-0.7969044513769926,-1.0706576193769122,-0.5136688132318196
2006-12-01,-3.088740590111383,-1.4447499869619973,-0.7145142041755255,0.46564406697671457,-1.5088833583922139,-1.0931148421786017,-0.6973077652579476,-3.32001643150463,-1.296033382249955,-0.5934323588362795,-0.8053698528727956,-1.1916743315135143,-0.45520278260916897
2007-03-01,-3.329549860326024,-1.395993723826912,-0.1765759417633097,0.293393049019849,-1.4970526150193195,-1.1184459548930001,-0.7674060669962468,-3.3749957007747473,-1.2365749667125465,-0.5579816131252411,-0.7813538192922843,-0.9504087173750796,-0.4595742957074014
2007-06-01,-3.51369051797528,-1.3933505151780385,-0.16515137290097925,0.26524804738245666,-1.4795019349352925,-1.1514888100997227,-0.6512235594841808,-3.2845660709087303,-0.8546698670889762,-0.7863486347086057,-0.8227673448783047,-0.8338326308689529,-0.37719114090835093
2007-09-01,-3.7127042605004252,-1.413654484643055,-0.13884137393546236,0.17959962095637672,-1.4310445658238424,-1.1169991094097613,-0.7012867248499611,-3.2846532530927925,-1.051910016628556,-0.8219413437790655,-0.8137306793928418,-0.986869075898797,-0.542455930064353
2007-12-01,-3.4705422186505626,-1.330241292134521,-0.02091976466950518,0.2400132436888075,-1.4200784661895465,-1.141797526924668,-0.6803501700071566,-3.3389302903589275,-1.0121628082822876,-0.8693266279122219,-0.7887279934484169,-1.3164683701531492,-0.4726602092171657
